,Signal,Close
2024-10-30,1,24340.849609375
2024-10-31,0,24205.349609375
2024-11-01,0,24304.349609375
2024-11-04,0,23995.349609375
2024-11-05,0,24213.30078125
2024-11-06,0,24484.05078125
2024-11-07,0,24199.349609375
2024-11-08,0,24148.19921875
2024-11-11,0,24141.30078125
2024-11-12,0,23883.44921875
2024-11-13,-1,23559.05078125
2024-11-14,1,23532.69921875
2024-11-18,1,23453.80078125
2024-11-19,1,23518.5
2024-11-21,1,23349.900390625
2024-11-22,-1,23907.25
2024-11-25,-1,24221.900390625
2024-11-26,-1,24194.5
2024-11-27,1,24274.900390625
2024-11-28,1,23914.150390625
2024-11-29,-1,24131.099609375
2024-12-02,0,24276.05078125
2024-12-03,0,24457.150390625
2024-12-04,-1,24467.44921875
2024-12-05,-1,24708.400390625
2024-12-06,0,24677.80078125
2024-12-09,0,24619.0
2024-12-10,0,24610.05078125
2024-12-11,0,24641.80078125
2024-12-12,0,24548.69921875
2024-12-13,-1,24768.30078125
2024-12-16,-1,24668.25
2024-12-17,-1,24336.0
2024-12-18,-1,24198.849609375
2024-12-19,0,23951.69921875
2024-12-20,1,23587.5
2024-12-23,1,23753.44921875
2024-12-24,-1,23727.650390625
2024-12-26,1,23750.19921875
2024-12-27,-1,23813.400390625
2024-12-30,1,23644.900390625
2024-12-31,1,23644.80078125
2025-01-02,1,24188.650390625
2025-01-03,-1,24004.75
2025-01-06,0,23616.05078125
2025-01-07,0,23707.900390625
2025-01-08,0,23688.94921875
2025-01-09,0,23526.5
2025-01-10,1,23431.5
2025-01-13,1,23085.94921875
2025-01-14,1,23176.05078125
2025-01-15,1,23213.19921875
2025-01-16,1,23311.80078125
2025-01-17,-1,23203.19921875
2025-01-20,1,23344.75
2025-01-21,1,23024.650390625
2025-01-22,-1,23155.349609375
2025-01-23,-1,23205.349609375
2025-01-24,-1,23092.19921875
2025-01-27,0,22829.150390625
2025-01-28,1,22957.25
2025-01-29,-1,23163.099609375
2025-01-30,-1,23249.5
2025-01-31,0,23508.400390625
2025-02-03,0,23361.05078125
2025-02-04,0,23739.25
2025-02-05,-1,23696.30078125
2025-02-06,-1,23603.349609375
2025-02-07,-1,23559.94921875
2025-02-10,-1,23381.599609375
2025-02-11,-1,23071.80078125
2025-02-12,-1,23045.25
2025-02-13,-1,23031.400390625
2025-02-14,-1,22929.25
2025-02-17,-1,22959.5
2025-02-18,1,22945.30078125
2025-02-19,-1,22932.900390625
2025-02-20,-1,22913.150390625
2025-02-21,-1,22795.900390625
2025-02-24,-1,22553.349609375
2025-02-25,-1,22547.55078125
2025-02-27,-1,22545.05078125
2025-02-28,1,22124.69921875
2025-03-03,-1,22119.30078125
2025-03-04,-1,22082.650390625
2025-03-05,-1,22337.30078125
2025-03-06,-1,22544.69921875
2025-03-07,-1,22552.5
2025-03-10,-1,22460.30078125
2025-03-11,-1,22497.900390625
2025-03-12,-1,22470.5
2025-03-13,1,22397.19921875
2025-03-17,1,22508.75
2025-03-18,1,22834.30078125
2025-03-19,1,22907.599609375
2025-03-20,1,23190.650390625
2025-03-21,-1,23350.400390625
2025-03-24,-1,23658.349609375
2025-03-25,-1,23668.650390625
2025-03-26,-1,23486.849609375
2025-03-27,-1,23591.94921875
2025-03-28,-1,23519.349609375
2025-04-01,-1,23165.69921875
2025-04-02,-1,23332.349609375
2025-04-03,-1,23250.099609375
2025-04-04,-1,22904.44921875
2025-04-07,-1,22161.599609375
2025-04-08,1,22535.849609375
2025-04-09,1,22399.150390625
2025-04-11,1,22828.55078125
2025-04-15,1,23328.55078125
2025-04-16,1,23437.19921875
2025-04-17,1,23851.650390625
2025-04-21,0,24125.55078125
2025-04-22,0,24167.25
2025-04-23,0,24328.94921875
2025-04-24,0,24246.69921875
2025-04-25,0,24039.349609375
2025-04-28,0,24328.5
2025-04-29,0,24335.94921875
2025-04-30,-1,24334.19921875
2025-05-02,0,24346.69921875
2025-05-05,1,24461.150390625
2025-05-06,0,24379.599609375
2025-05-07,0,24414.400390625
2025-05-08,1,24273.80078125
2025-05-09,1,24008.0
2025-05-12,1,24924.69921875
2025-05-13,0,24578.349609375
2025-05-14,1,24666.900390625
2025-05-15,0,25062.099609375
2025-05-16,0,25019.80078125
2025-05-19,-1,24945.44921875
2025-05-20,-1,24683.900390625
2025-05-21,-1,24813.44921875
2025-05-22,-1,24609.69921875
2025-05-23,-1,24853.150390625
2025-05-26,-1,25001.150390625
2025-05-27,-1,24826.19921875
2025-05-28,0,24752.44921875
2025-05-29,0,24833.599609375
2025-05-30,0,24750.69921875
2025-06-02,1,24716.599609375
2025-06-03,1,24542.5
2025-06-04,1,24620.19921875
2025-06-05,1,24750.900390625
2025-06-06,1,25003.05078125
2025-06-09,0,25103.19921875
2025-06-10,-1,25104.25
2025-06-11,0,25141.400390625
2025-06-12,0,24888.19921875
2025-06-13,0,24718.599609375
2025-06-16,-1,24946.5
2025-06-17,-1,24853.400390625
2025-06-18,-1,24812.05078125
2025-06-19,-1,24793.25
2025-06-20,-1,25112.400390625
2025-06-23,-1,24971.900390625
2025-06-24,1,25044.349609375
2025-06-25,0,25244.75
2025-06-26,0,25549.0
2025-06-27,1,25637.80078125
2025-06-30,0,25517.05078125
2025-07-01,-1,25541.80078125
2025-07-02,0,25453.400390625
2025-07-03,0,25405.30078125
2025-07-04,0,25461.0
2025-07-07,-1,25461.30078125
2025-07-08,-1,25522.5
2025-07-09,-1,25476.099609375
2025-07-10,0,25355.25
2025-07-11,0,25149.849609375
2025-07-14,0,25082.30078125
2025-07-15,-1,25195.80078125
2025-07-16,0,25212.05078125
2025-07-17,-1,25111.44921875
2025-07-18,-1,24968.400390625
2025-07-21,0,25090.69921875
2025-07-22,-1,25060.900390625
2025-07-23,0,25219.900390625
2025-07-24,-1,25062.099609375
2025-07-25,-1,24837.0
2025-07-28,-1,24680.900390625
2025-07-29,-1,24821.099609375
2025-07-30,-1,24855.05078125
2025-07-31,-1,24768.349609375
2025-08-01,-1,24565.349609375
2025-08-04,-1,24722.75
2025-08-05,-1,24649.55078125
2025-08-06,0,24574.19921875
2025-08-07,0,24596.150390625
2025-08-08,0,24363.30078125
2025-08-11,0,24585.05078125
2025-08-12,0,24487.400390625
2025-08-13,0,24619.349609375
2025-08-14,0,24631.30078125
2025-08-18,0,24876.94921875
2025-08-19,0,24980.650390625
2025-08-20,0,25050.55078125
2025-08-21,0,25083.75
2025-08-22,0,24870.099609375
2025-08-25,0,24967.75
2025-08-26,0,24712.05078125
2025-08-28,0,24500.900390625
2025-08-29,0,24426.849609375
2025-09-01,0,24625.05078125
2025-09-02,0,24579.599609375
2025-09-03,-1,24715.05078125
2025-09-04,0,24734.30078125
2025-09-05,-1,24741.0
2025-09-08,-1,24773.150390625
2025-09-09,-1,24868.599609375
2025-09-10,0,24973.099609375
2025-09-11,0,25005.5
2025-09-12,1,25114.0
2025-09-15,0,25069.19921875
2025-09-16,0,25239.099609375
2025-09-17,-1,25330.25
2025-09-18,-1,25423.599609375
2025-09-19,1,25327.05078125
2025-09-22,-1,25202.349609375
2025-09-23,-1,25169.5
2025-09-24,0,25056.900390625
2025-09-25,1,24890.849609375
2025-09-26,0,24654.69921875
2025-09-29,0,24634.900390625
2025-09-30,0,24611.099609375
2025-10-01,0,24836.30078125
